,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198
94,-0.9300829066162948,,,,,-1.0687960415946616,,,,,,,,,,,,,,-1.01285591535476,-1.0794396893942406,,,,,,,-1.1132374647479153,,-1.0648146299805654,,,,,,,,,,,,-1.1043131890291051,,,,,-0.9631020942803125,,,,,,,,,-1.019649362051772,,,,,,,,-0.9847263804162663,,,,,,,-0.8339914751480604,,,,,,,,,,,,,,,,,,,,-0.3055475867963546,,-0.2110758809413719,,,,,,0.7164661387135383,,,,,,,,,1.9358316564773543,,,,,,,,,,,0.31897272194113835,,,,,,,,,,-0.00461271200147742,0.04687593019393542,,,,,,,,,,,,,,-0.008220485808663025,,,,,,-0.09011264373101836,,,,,,0.26102005743942086,,,,,,,1.6985345038851805,,,,1.5169493875824098,1.3577607451535043,,,1.156197642200374,,1.1102049180152709,,,,,,,1.07862072328715,,,,1.1378776099743229,1.2912238048135785,,,,,,,,,,,,,1.825836085505761,
8,-1.0365043120972142,,,-0.9731717738273853,,-1.0016992295163152,-0.8365711932577078,,,-1.0268864054027924,,,,,,,,,-0.9857283023956775,-0.9047738828936147,,,,,,,,,-0.9027558140868635,,,-0.9405428655168324,,,,,,-0.9267143248715108,,,,-1.010454133493849,-0.8806148266427977,,,,,,,,,,,,,-0.8670529120905791,,,,,-0.8051274272980875,-0.8189100349255712,-0.8362960230370944,,,,-0.7694153266970115,,,-0.8195770202642061,,,-0.7898271958518055,,,,,,,-0.6652028558023687,,,,,,,-0.5886676183754501,,,,,,,,,,-0.25915886301098795,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.03696130858296826,,0.08751997392163044,-0.04360877940623394,0.18222609610085433,,,,,0.14187305367472744,,,,,0.3672818832084124,,0.4584635587270409,0.5644214957744553,,,,,,0.9555905948070551,,1.0414648761603276,,1.0916847050171135,1.082864104351148,,,,,,,,1.5240813730754958,1.5393549998363225,1.501736095234534,1.6308271644969192,,,1.7427139395828388,,,,,,,,,,,,,,,,,,,,,1.8693168440293475,1.821852040123408,,,,
14,,,,,,,,,-0.9433606146407658,,,,-0.9788938704708087,,-1.0362957902697463,,,,,,,,,,-1.0373629453600488,-1.0345779785921179,,,,,,,,-1.0701974879773535,,,,,,-0.9882477649604459,,,,,-0.9309414108320487,,,-1.012931616375891,,,-0.9438229128840017,,,,,,,,,,,,,,,,,,,,,,,,,,-0.7964551414945346,-0.6892457334061518,,-0.7100276807509422,,-0.6077100497150806,,,,,,,,-0.48030959719590566,,,,,,,,,,,,,,,,,0.9145479425505602,,,,,,,,,,,,-0.06024798479009137,,-0.0758673021769451,,,,,-0.14132000838363037,,,,,,-0.02248162148470991,,,,,0.11823083112913312,,,,,,,,0.4051871168334572,,,,,0.6075432160215946,,,,,,,,,,,,1.157053196172747,1.2334859549186385,,,,,,,,1.4272509503012285,1.49393713564956,1.3735843650991058,,,,,1.553692416416271,,1.572211126079763,1.6334333829662198,,1.7872286320651958,1.6398093960103952,,,,,,,,,1.9102743064807968,,,,2.0180798025342646,,
34,-1.0553235228412783,,,,,,-0.9973128541542773,,,,,,,,,-1.037087656899358,,,,,,,,,,-1.097373209267608,,,-0.955945579747013,,-1.0494312591743227,,-1.0802729617112856,,,-1.1590286322732615,,,,,,,,,,,,,,,,,,,,-0.9627811685841849,,-1.0905235068206611,,,-1.0313037071589792,,,-0.9561981245205671,,,-0.8842871651598422,-0.8026591862554642,,-0.8649428242133548,,,-0.769416397961024,,,,-0.6423251993941562,,-0.5816010701211686,-0.5347967576257106,,,,,,,-0.45554454583938964,,,-0.21373081286327883,-0.18494135361544428,,,,,,,,,1.2629214073789161,,1.6130363195197766,,,,,,,,,,1.965380758824816,1.737496416432008,,1.2338382999286133,0.9342059011361997,0.7686597660079365,,,0.39109505225370306,,,,,,,0.14280960716547977,,0.11758381682392051,,,,,,,,,,,,,,,,,,0.043957376995325814,,,,-0.039224934527963565,,,0.04573916615398085,,,,,0.3937011519626907,,,,,,0.8932319738213368,0.8686778427267222,,,0.6599947412257309,,,,,,,0.6078142351688972,0.6239634955029705,,,,,,,,0.944512588672126,,,,,,,,,,,,,,
89,,,,-0.9856217784147883,,-0.9981755729598619,,,,,-1.0584466848658192,,,,,,-1.0583377344686236,,,,-0.9759436552484927,-1.1266073742065887,,,,,,,-0.994058662485343,,-1.0365346596313199,-1.08021769011203,-1.0810810022243227,,,,,,-1.0838952924763163,,,,,,,,,,-1.0509759799719482,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.7185713646309609,-0.7086953567648783,,,,,,,,,,,-0.6419473656634953,,,,,-0.09641141656126788,,,,,,,0.6259057764419743,,,,,,,,,,,,,,0.3420454904326147,,,0.21759963554368683,,0.16057913178740985,,,,,,,0.09899788788782729,,,,,,0.19721764988755708,,,0.2192953093794411,,0.21041256483126525,0.24807315568841334,0.22591115066623688,,0.2660452537119534,,,0.211283089432472,0.23746965931754013,,0.2175196927859435,,,0.39764516973113934,,,,,,0.8550460575776395,,,1.3732155811930946,,,,,,1.561268215967173,,1.441043311894513,,,1.4184384722065595,,,,,,,,,,1.3484757547693447,,1.394485243705671,1.5572089029097087,,,,,1.6059031940310673,,1.6001923152398507,1.7463351644203162,1.7138090263474688,,,,,
39,,-0.8820828842958316,,,,,,,,,,,-0.8495960692134448,,,,,,,,-0.8314956866826614,-0.7943590068731627,,,,,,,,,,,,,,,,,,,-0.7289973157580667,,,,,,,,,-0.6759421917732298,-0.635438607713795,,,,,,-0.7489742793352056,,,,,,,,-0.6545412911569817,-0.7467180755879257,,,,,,,,,,,,,-0.7214517593341969,,-0.7217828280047629,-0.6257721564656303,,,,,,,,,,,-0.6326361548177132,,,,,,,,-0.5028211180108066,,,,-0.5628590658561423,,,,,,-0.5578906000644609,,,-0.5860378519239144,,-0.5044700560043817,,-0.4683428676088115,,,,-0.3643048852517879,,,,-0.4097402795953893,,,,,,,-0.15110978042949946,,-0.07511847278828201,0.1773106925793345,,,,0.22102164189963258,,,,0.33154036360327965,,,0.6053043245229774,0.5466176868098375,,,,,,,,,,,1.6738037605365432,,,1.835977752351784,,1.9560254184154893,,,,,,,,,,1.8999055716954443,1.9204516449887479,,,1.8558569247279468,,,,,,1.7449040533237201,1.6473984556860743,,1.6559715801377621,,,1.5487918171997008,,,,,,1.4852430495101758,,1.4083958516381736,
37,,,,,-0.978178709447207,,,,,,,-1.0895819875709243,,,,,-1.0263055280290951,,,,,,,,,,,,,,,,,,,,,-1.0517473943495015,-1.1185852704502375,,,-1.1217900288836802,-1.044367067919831,,,,,,-1.0152848222796689,-1.0796936098996288,,,-1.142934291622684,,,,-1.0228745487969153,,,,-0.9643431131144811,,-0.9978810872365642,,,,-0.9032127544314207,,,,,,,,,-0.8299088837124681,,-0.6945419585574055,,,,,-0.6238652371674485,,,,,-0.6218429405508336,,,,,,,,,0.1031658793748456,,,,,,,,,1.410372384147545,,,1.3713704429595803,1.354233688007204,,,,,,,,,,0.01813420439467019,-0.06844189952485448,,-0.10979041220834496,,,-0.1473529027632856,,,,,,,,,,,,,,0.27231541589352315,,,0.3660081389910657,,0.3437803747474472,,0.4788982800357439,,,,,,,,,,0.7652400191227424,0.6869081229106573,,0.9162710864365236,,,,,1.314632787614344,,1.2932647700740711,,,1.2323054146598795,1.3609537324492362,,,,,1.343419098930591,,,,,,,,,,,,,1.7034125649630667,,,,,1.8147551679438347,,1.8067700617535474,1.9579553150784568,1.9983215268316232,
67,,,,,,-1.07118646610451,,-1.0141793517294426,,,,-1.085090148681889,,,,,,,,-1.0824924955226725,,,,,,-1.1043290367113443,-0.9920972210946809,,,,,,,,,-0.9753940881419308,-1.0738588922114694,,,,,-1.0329757751354995,,-1.0139055081448276,-1.0906632726636798,-1.06052340162596,,-1.0298504711819378,-1.0159138519964246,,,,-0.9093936734044642,-1.0765790571513605,,,,,,,,,-0.9686814413551362,,-0.9756987911264321,,,,-0.8877615195704037,,,-0.796410438782519,,,,,,-0.7525899935069137,,,,,,,,,-0.5968242240497197,,,-0.5180771848672857,,-0.4002442811408857,,-0.32204498015922695,,-0.19188435936454162,-0.2195197047463303,,0.10881782686242816,,,,,0.5496032721256846,,,,0.7232918416380043,,0.6897270082760956,,,,,,,0.24010111111237192,,,,0.20354956673219737,,,,,0.1048679103063836,0.13504273979395257,,,,,,,,,,,0.31978152088927886,,,,,0.36510643997735737,,,,,,,,,0.6394148699941208,,,,,0.8073415767550143,1.03451381833253,,,,,,1.529812287523922,,,,,,,1.4705319127351324,,1.5134832712804756,1.5306509636624097,,1.5246856962036437,,1.5191386391593247,,,,,,,1.664345861388609,1.6317998947104604,,,,,1.844352101947742,1.7360469345879166,1.7217785858859278,,,,,,
19,,,,,,,,,-0.9591465087882936,,-0.906735264253897,,,,,,,,-1.0218671881118264,,,-0.9924371892646049,,-1.017402422346982,,,,,-1.0063681224292762,-0.9949140872361905,,,,,,,,,,,,-1.057824831972859,,,,,,,-1.0227746199121452,,-1.003996522939195,,,,,,,,,,,,,,-0.921154819523432,,,,,,,-0.8206267952918059,,-0.7832744464811643,-0.7339574667683969,-0.6578870790959371,,,,-0.6812151151605237,,,-0.6669692129882646,,,,,,,,,,,-0.16690575706861066,-0.18702705941205813,,0.05292835612375465,,,,0.5271934994674128,,,,,,0.9591568060416551,,,,0.832263220228387,,,0.4206744951514833,,,,,-0.13642384203460892,,,,,,,-0.19302519852861516,,-0.30371993000704756,,-0.23285349811943695,,,,,,,,,,0.1721579892816535,,,,,,,,,,,,,,,,,,0.8549106327840795,0.9688967782347496,,,,1.2410569330435288,,,,,1.409932099442947,,,,,,,,1.4841030514935172,,,,1.4903161034452006,,,,,,1.7164007580890415,,,,,1.8531686223080923,,,,,,,2.0247997561424267,
101,-1.1223968259788917,,,,,,-0.9057081766505084,,,,,-1.0620734069815205,,,,-1.0383408305009074,,,,,,,-1.0959646375126668,,-0.9968410754094451,,,-0.9978119987329038,,,,,-1.0056541708531532,,,,,,,,-0.9861679211699331,,-0.9363289414668583,,,,,,-1.0346384182694277,,,,-1.022349583647821,,,,,,,,,,-0.8995794193060969,,,-0.9196583579652019,,,,-0.953731775297303,,,,,-0.8025087147509811,-0.7701111257642039,,,,,,,,-0.706512249289527,,,,,,-0.47579568164562513,-0.5277532007458697,,,-0.3249251300156657,,,,,,,,0.5646945235467506,,,,,,,,,,,,0.36716855821206124,0.17575481551845157,,,-0.015653022652343463,-0.06660639411937923,,,,,,,-0.311150248341332,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8874102477752428,0.7592647374384546,,,,,1.40047400311893,1.5364362619397371,,,,1.9643248853293453,,,,,,,,1.583614079614428,,,,,1.524447287348138,1.4325136208049372,1.5170215690193611,,,1.4932079356599541,,1.4721585586770705,1.4615082620116981,,,,,,,,,,,,1.726892035317258
